Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
Dusan Tadic,Attacking Midfield,29,Southampton,Premier League,AFC Ajax,Eredivisie,2018-2019,15000000,11400000
Benik Afobe,Centre-Forward,25,Bournemouth,Premier League,Wolves,Premier League,2018-2019,10000000,11400000
Josh Murphy,Left Winger,23,Norwich,Championship,Cardiff,Premier League,2018-2019,1500000,11400000
Bobby Reid,Attacking Midfield,25,Bristol City,Championship,Cardiff,Premier League,2018-2019,3000000,11350000
David Brooks,Attacking Midfield,20,Sheffield Utd.,Championship,Bournemouth,Premier League,2018-2019,5000000,11300000
Angus Gunn,Goalkeeper,22,Man City,Premier League,Southampton,Premier League,2018-2019,2000000,11300000
Tom Ince,Right Winger,26,Huddersfield,Premier League,Stoke City,Championship,2018-2019,8000000,11200000
Santiago Arias,Right-Back,26,PSV Eindhoven,Eredivisie,AtlÃ©tico Madrid,LaLiga,2018-2019,18000000,11000000
Suat Serdar,Central Midfield,21,1.FSV Mainz 05,1.Bundesliga,FC Schalke 04,1.Bundesliga,2018-2019,7500000,11000000
Gianluca Lapadula,Centre-Forward,28,AC Milan,Serie A,Genoa,Serie A,2018-2019,7000000,11000000
Wout Weghorst,Centre-Forward,25,AZ Alkmaar,Eredivisie,VfL Wolfsburg,1.Bundesliga,2018-2019,7000000,10500000
Odsonne Edouard,Centre-Forward,20,Paris SG,Ligue 1,Celtic,Premiership,2018-2019,1500000,10300000
Djaniny,Centre-Forward,27,Santos Laguna,Liga MX Apertura,Ahli,Professional League,2018-2019,5000000,10240000
Jordan Amavi,Left-Back,24,Aston Villa,Championship,Marseille,Ligue 1,2018-2019,16000000,10000000
Francesco Acerbi,Centre-Back,30,Sassuolo,Serie A,Lazio,Serie A,2018-2019,10000000,10000000
Leonardo Pavoletti,Centre-Forward,29,SSC Napoli,Serie A,Cagliari Calcio,Serie A,2018-2019,9000000,10000000
Vitinho,Second Striker,24,CSKA Moscow,Premier Liga,Flamengo,SÃ©rie A,2018-2019,8000000,10000000
Soualiho MeÃ¯tÃ©,Defensive Midfield,24,Monaco,Ligue 1,Torino,Serie A,2018-2019,8000000,10000000
Omar Mascarell,Defensive Midfield,25,Real Madrid,LaLiga,FC Schalke 04,1.Bundesliga,2018-2019,8000000,10000000
Danilo,Defensive Midfield,22,Braga,Liga NOS,OGC Nice,Ligue 1,2018-2019,7000000,10000000
Santiago CÃ¡seres,Defensive Midfield,21,VÃ©lez Sarsfield,Primera DivisiÃ³n,Villarreal CF,LaLiga,2018-2019,6000000,10000000
Bernardo,Left-Back,23,RB Leipzig,1.Bundesliga,Brighton,Premier League,2018-2019,6000000,10000000
